protocol,topology,num_replicas,set_size,payload_size,digest_bits,divergence,pattern,seed,round_cap,rounds,converged,target_union_size,total_state_bytes_sent,total_state_bytes_received,total_metadata_bytes_sent,total_metadata_bytes_received,total_encode_time_ns,total_decode_time_ns,total_elements_added
FullStateTransfer,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,13174280,13174280,0,0,0,0,48728
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,37327720,37327720,0,0,0,0,48728
FullStateTransfer,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,39176000,39176000,0,0,0,0,48728
Riblt,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,0,0,1069104,1069104,4298088992,1701969380,48728
Riblt,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,0,0,1070288,1070288,9192694536,1556515625,48728
Riblt,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,0,0,1968912,1968912,13053487286,3207416957,48728
StaticBfIblt,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,1949120,1949120,933601,933601,3545201646,1165139213,48728
StaticBfIblt,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,1949120,1949120,1661757,1661757,7714824484,1443652346,48728
StaticBfIblt,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,1949120,1949120,2167420,2167420,11859871401,2159952781,48728
HybridRbfRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,1949120,1949120,819579,819579,4380512405,1846000802,48728
HybridRbfRiblt,Tree,8,10000,32,64,0.1,Uniform,42,20,5,true,16091,1949120,1949120,1100500,1100500,9629336089,2593654485,48728
HybridRbfRiblt,Chord,8,10000,32,64,0.1,Uniform,42,20,2,true,16091,1949120,1949120,2027292,2027292,15256944871,4968232376,48728
TopologyAwareRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,1,true,16091,1949120,1949120,7225344,7225344,5851940836,1701848672,48728
TopologyAwareRiblt,Tree,8,10000,32,64,0.1,Uniform,42,20,1,true,16091,1949120,1949120,7225344,7225344,6081639630,1780178378,48728
TopologyAwareRiblt,Chord,8,10000,32,64,0.1,Uniform,42,20,1,true,16091,1949120,1949120,20643840,20643840,5855121317,1705283234,48728
TopologyAwareCbfRiblt,Star,8,10000,32,64,0.1,Uniform,42,20,1,true,16091,1949120,1949120,10461920,10461920,6344813077,1402663059,48728
